Artist,Album,Song,Date Saved,Album Art
"Luigi Denza","The Three Tenors - The Best of the 3 Tenors (Live)","Funiculì, funiculà - Live","2021/09/10","https://i.scdn.co/image/ab67616d0000b27328e2ea5755150dff943abb40" 
"Nacio Herb Brown","The Three Tenors - The Best of the 3 Tenors (Live)","Singin' In The Rain - Live","2021/09/10","https://i.scdn.co/image/ab67616d0000b27328e2ea5755150dff943abb40" 
"Juan De Dios Filiberto","The Three Tenors - The Best of the 3 Tenors (Live)","Ochi tchorniye - Caminito - La vie en rose- - Live","2021/09/10","https://i.scdn.co/image/ab67616d0000b27328e2ea5755150dff943abb40" 
"Ruggero Leoncavallo","The Three Tenors - The Best of the 3 Tenors (Live)","Mattinata. - Wien, Wien, nur du allein - - Amapola - Live","2021/09/10","https://i.scdn.co/image/ab67616d0000b27328e2ea5755150dff943abb40" 
"Bob Russell","The Three Tenors - The Best of the 3 Tenors (Live)","Brazil - Live","2021/09/10","https://i.scdn.co/image/ab67616d0000b27328e2ea5755150dff943abb40" 
"Ernesto de Curtis","The Three Tenors - The Best of the 3 Tenors (Live)","Torna a Surriento - Live","2021/09/10","https://i.scdn.co/image/ab67616d0000b27328e2ea5755150dff943abb40" 
"Luciano Pavarotti","Pavarotti & Friends 2","La traviata / Act 1: "Libiamo ne'lieti calici" (Brindisi)","2021/09/10","https://i.scdn.co/image/ab67616d0000b273fb96d63e9adee88ca928488d" 
"Molotov","Dance And Dense Denso","Frijolero","2022/03/13","https://i.scdn.co/image/ab67616d0000b273fee079615e41899b497a7dda" 
"our distant worlds","sleeping moons","gentle skies","2022/03/20","https://i.scdn.co/image/ab67616d0000b273f70a4a0a39f8b427012a16ea" 
"our distant worlds","sleeping moons","dark light","2022/03/20","https://i.scdn.co/image/ab67616d0000b273f70a4a0a39f8b427012a16ea" 
"our distant worlds","sleeping moons","midnight relief","2022/03/20","https://i.scdn.co/image/ab67616d0000b273f70a4a0a39f8b427012a16ea" 
"our distant worlds","sleeping moons","eyes wide shut","2022/03/20","https://i.scdn.co/image/ab67616d0000b273f70a4a0a39f8b427012a16ea" 
"our distant worlds","sleeping moons","beyond horizons","2022/03/20","https://i.scdn.co/image/ab67616d0000b273f70a4a0a39f8b427012a16ea" 
"Roberto Jordan","RCA 100 Años De Musica","Hazme una Señal - Gimme Little Sign","2022/06/01","https://i.scdn.co/image/ab67616d0000b273170b3c4193ffe88512c33137" 
"Roberto Jordan","20 Éxitos","No Se Ha Dado Cuenta","2022/06/01","https://i.scdn.co/image/ab67616d0000b27361a6d14796ab956d9e2de598" 
"Roberto Jordan","20 Éxitos","Rosa Marchita","2022/06/01","https://i.scdn.co/image/ab67616d0000b27361a6d14796ab956d9e2de598" 
"Roberto Jordan","20 Éxitos","Agujetas de Color de Rosa","2022/06/01","https://i.scdn.co/image/ab67616d0000b27361a6d14796ab956d9e2de598" 
"Leonardo Favio","Mis Canciones Favoritas","Poupurri: Fuiste Mía un Verano / Ella Ya Me Olvidó / O Quizas Simplemente Le Regale una Rosa","2022/06/01","https://i.scdn.co/image/ab67616d0000b2735d972209bc39daac2915f514" 
"Palito Ortega","Palito Ortega y Sus Éxitos","Por Muchas Razones Te Quiero","2022/06/01","https://i.scdn.co/image/ab67616d0000b273262cc7654b19fe504e9a817a" 
"Palito Ortega","Palito Ortega y Sus Éxitos","Despeinada","2022/06/01","https://i.scdn.co/image/ab67616d0000b273262cc7654b19fe504e9a817a" 
"Palito Ortega","Palito Ortega","La Felicidad","2022/06/01","https://i.scdn.co/image/ab67616d0000b2737ac4fd0df1edc28160e343b0" 
"Palito Ortega","Palito Ortega y Sus Éxitos","Yo Tengo Fe","2022/06/01","https://i.scdn.co/image/ab67616d0000b273262cc7654b19fe504e9a817a" 
"Leo Dan","10 De Coleccion","Qué Tiene la Niña","2022/06/01","https://i.scdn.co/image/ab67616d0000b273c2773f3f764c1a8d05ad61e1" 
"Enrique Guzman","20 Grandes Exitos","Lo Sé (I Will)","2022/06/01","https://i.scdn.co/image/ab67616d0000b273fe232b5ff5e6e7f65ec17806" 
"Enrique Guzman","20 Grandes Exitos","Ángel de Mi Vida - Angel of the Morning","2022/06/01","https://i.scdn.co/image/ab67616d0000b273fe232b5ff5e6e7f65ec17806" 
"Enrique Guzman","20 Grandes Exitos","Más (More)","2022/06/01","https://i.scdn.co/image/ab67616d0000b273fe232b5ff5e6e7f65ec17806" 
"Enrique Guzman","Serie De Coleccion 15 Autenticos Exitos - Enrique Guzman","Cien Kilos de Barro (100 Pounds of Clay)","2022/06/01","https://i.scdn.co/image/ab67616d0000b273a18523f50067d4390dd86b97" 
"Alberto Vazquez Con Orquesta Y Grupo","Baladas - Alberto Vazquez","Maracas","2022/06/01","https://i.scdn.co/image/ab67616d0000b273dee4ebcc8d38c1dd4727fef9" 
"Alberto Vazquez","16 Exitos Baladas - Alberto Vazquez","Olvidalo","2022/06/01","https://i.scdn.co/image/ab67616d0000b27325ccc440f09b163a391832cb" 
"Alberto Vazquez","16 Exitos Baladas - Alberto Vazquez","Cuando Calienta El Sol","2022/06/01","https://i.scdn.co/image/ab67616d0000b27325ccc440f09b163a391832cb" 
"Alberto Vazquez","Las Numero 1 De Alberto Vazquez","Para Decir Adiós","2022/06/01","https://i.scdn.co/image/ab67616d0000b273b6d2dc60946bbcbf6d39eff9" 
"Charles Aznavour","Venecia Sin Ti","Venecia sin ti - Que c'est triste Venise","2022/06/01","https://i.scdn.co/image/ab67616d0000b273f47c955ab2b03b34e9631ed2" 
"Manolo Mu","Los 4 Grandes Del Rock","El Rapido Speedy Gonzalez","2022/06/01","https://i.scdn.co/image/ab67616d0000b2737129a818c9de8f6d8aa5f9dd" 
"Roberto Carlos","Línea Azul - Vol. I - La Distancia","Jesucristo (Jesús Cristo)","2022/06/01","https://i.scdn.co/image/ab67616d0000b2731580117484ce36e4d8d5660d" 
"Mari Trini","Serie 3X4 (Rocio Jurado, Paloma San Basilio, Mari Trini)","Yo No Soy Esa","2022/06/01","https://i.scdn.co/image/ab67616d0000b27367dbb996eb5edeb3de61ac3d" 
"Los Bravos","Lo Mejor de los Bravos","La Moto","2022/10/31","https://i.scdn.co/image/ab67616d0000b27373d51ef264e668b2fa9e8010" 
"Dean Martin","Everybody Loves Somebody","Everybody Loves Somebody","2022/11/11","https://i.scdn.co/image/ab67616d0000b273ba93cb5d7f8450ac548e04b6" 
"Electric Light Orchestra","70s 100 Hits","Livin' Thing","2022/11/11","https://i.scdn.co/image/ab67616d0000b273871ab8561721e8967eda8269" 
"The Manhattans","R&B: From Doo-Wop To Hip-Hop","Kiss and Say Goodbye","2022/11/11","https://i.scdn.co/image/ab67616d0000b273980caf4dd525a15f08f8cb87" 
"Boys Town Gang","Disco Kicks (The Complete Anthology)","Can't Take My Eyes Off You - Jazz Version","2022/11/11","https://i.scdn.co/image/ab67616d0000b273093ee6ced0f0ff438c17d65d" 
"The Hollies","Distant Light (Expanded Edition)","Long Cool Woman (In a Black Dress) - 1999 Remaster","2022/11/11","https://i.scdn.co/image/ab67616d0000b273bb7dfb2d46ee5158d505d7db" 
"Queen","The Game (Deluxe Remastered Version)","Another One Bites The Dust - Remastered 2011","2022/11/11","https://i.scdn.co/image/ab67616d0000b27307744e2ed983efa3e6620a47" 
"Rod Stewart","Some Guys Have All the Luck","Young Turks - 2008 Remaster","2022/11/11","https://i.scdn.co/image/ab67616d0000b273af5437d890d1a41486e0a322" 
"Helen Reddy","Helen Reddy's Greatest Hits (And More)","You're My World","2022/11/11","https://i.scdn.co/image/ab67616d0000b273823351ac09824d25f3b09db8" 
"Barry Manilow","The Essential Barry Manilow","Can't Smile Without You","2022/11/11","https://i.scdn.co/image/ab67616d0000b273804ac67899d51810de932bdc" 
"The Weeknd","Starboy","I Feel It Coming","2023/01/30","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452" 
"Vazquez Sounds","Invencible","Volaré","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f6b7f1013db479840fa71784" 
"Sean Ono Lennon","A Monster In Paris","A Monster In Paris","2023/01/30","https://i.scdn.co/image/ab67616d0000b27320a843e94e91ae55e23e87fb" 
"Sabrina Carpenter","Eyes Wide Open","Eyes Wide Open","2023/01/30","https://i.scdn.co/image/ab67616d0000b2735d9a77afd5c144581be1e74e" 
"Zoé","Memo Rex Commander y el Corazón Atómico de la Vía Láctea","No Me Destruyas","2023/01/30","https://i.scdn.co/image/ab67616d0000b27365aae98107ee8ab92da971a7" 
"Ricky Martin","Vente Pa' Ca (feat. Maluma)","Vente Pa' Ca (feat. Maluma)","2023/01/30","https://i.scdn.co/image/ab67616d0000b2733d90f5938459be40b7b6652a" 
"Julia Michaels","Heaven [From "Fifty Shades Freed (Original Motion Picture Soundtrack)"]","Heaven","2023/01/30","https://i.scdn.co/image/ab67616d0000b2738dfd94df32e91d9f384df1fb" 
"Juan Magán","The King Is Back (#LatinIBIZAte)","Si No Te Quisiera","2023/01/30","https://i.scdn.co/image/ab67616d0000b27302a9f2b0140d891d4efaa277" 
"Janieck","Does It Matter","Does It Matter","2023/01/30","https://i.scdn.co/image/ab67616d0000b273c40fb55bdc209b802cc3bfdb" 
"The Jackson 5","Diana Ross Presents The Jackson 5","I Want You Back","2023/01/30","https://i.scdn.co/image/ab67616d0000b27316aaf05fe82237576a7d0e38" 
"Camilo","Vida de Rico","Vida de Rico","2023/01/30","https://i.scdn.co/image/ab67616d0000b2731787548fbb289e9a26a5e1c1" 
"Chamorro","Bellacaco","Que Onda","2023/01/30","https://i.scdn.co/image/ab67616d0000b273580829cf18151297f4321e4b" 
"Bizarrap","Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53","2023/01/30","https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812" 
"Camilo","Ropa Cara","Ropa Cara","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f7884ae3a1a00f73dd0e9fff" 
"Camilo","Tutu","Tutu","2023/01/30","https://i.scdn.co/image/ab67616d0000b273f748b7d038bc70dfba593fdd" 
"ROSALÍA","DESPECHÁ","DESPECHÁ","2023/01/30","https://i.scdn.co/image/ab67616d0000b2738f072024e0358fc5c62eba41" 
"Bad Bunny","Un Verano Sin Ti","Efecto","2023/01/30","https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72" 
"Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52","2023/01/30","https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf" 
"Manuel Turizo","La Bachata","La Bachata","2023/01/30","https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a" 
"Shakira","Te Felicito","Te Felicito","2023/01/30","https://i.scdn.co/image/ab67616d0000b2739a9716c90ceeb1890921e44f" 
"Shakira","Monotonía","Monotonía","2023/01/30","https://i.scdn.co/image/ab67616d0000b27327b5b57343431306a7f9daec" 
"JVLA","Such a Whore (Stellular Remix)","Such a Whore (Stellular Remix)","2023/01/30","https://i.scdn.co/image/ab67616d0000b27351a95ca879d7933ef85e95be" 
"Justin Hurwitz","La La Land (Original Motion Picture Soundtrack)","City Of Stars (Humming)","2023/01/30","https://i.scdn.co/image/ab67616d0000b2730bdf4dd39843ad48c5b66bc4" 
"Jorge Blanco","Disney Papás por Encargo (Banda Sonora Original)","Vivo","2023/01/30","https://i.scdn.co/image/ab67616d0000b273a74ac287a89b0e936c396f6f" 
"Jorge Blanco","Disney Papás por Encargo (Banda Sonora Original)","Mientes tan bien","2023/01/30","https://i.scdn.co/image/ab67616d0000b273a74ac287a89b0e936c396f6f" 
"Jorge Blanco","Disney Papás por Encargo (Banda Sonora Original)","Cómo te voy a olvidar","2023/01/30","https://i.scdn.co/image/ab67616d0000b273a74ac287a89b0e936c396f6f" 
"Jorge Blanco","Disney Papás por Encargo (Banda Sonora Original)","Oye Mujer","2023/01/30","https://i.scdn.co/image/ab67616d0000b273a74ac287a89b0e936c396f6f" 
"Jennifer Hudson","RESPECT (Original Motion Picture Soundtrack)","I Say A Little Prayer","2023/01/30","https://i.scdn.co/image/ab67616d0000b273e18c4c4c7164681b76916e62" 
"J Balvin","No Es Justo","No Es Justo","2023/01/30","https://i.scdn.co/image/ab67616d0000b27399714bfbe9b5340b182405c4" 
"J Balvin","Bonita","Bonita","2023/01/30","https://i.scdn.co/image/ab67616d0000b2732e5575fe1f84ef8cdafa7987" 
"Jawsh 685","Savage Love (Laxed - Siren Beat)","Savage Love (Laxed - Siren Beat)","2023/01/30","https://i.scdn.co/image/ab67616d0000b273e3eb3b8feeafb746ecf659e7" 
"Feid","FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM","XQ Te Pones Así","2023/01/30","https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3" 
"Javier Ramirez","Me Atrapó","Me Atrapó","2023/01/30","https://i.scdn.co/image/ab67616d0000b2739e984c78d4ff53ee5f2c1589" 
"Zangel","Soy Loco","Soy Loco","2023/01/30","https://i.scdn.co/image/ab67616d0000b273a11903da3038b7a7582d6a64" 
