Artist,Album,Song,Date Saved,Album Art
"Billie Eilish","One World: Together At Home","Sunny - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Andrea Bocelli","One World: Together At Home","The Prayer - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Jennifer Hudson","One World: Together At Home","Memory - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Christine and the Queens","One World: Together At Home","People, I've Been Sad - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Kesha","One World: Together At Home","Praying - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Sofi Tukker","One World: Together At Home","Drinkee - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Lady A","One World: Together At Home","What I'm Leaving For - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Jennifer Hudson","One World: Together At Home","Hallelujah - One World: Together At Home","2023/08/11","https://i.scdn.co/image/ab67616d0000b273d43806cf68e3984ed158f1a7" 
"Red Velvet","Ice Cream Cake","Take It Slow","2023/08/11","https://i.scdn.co/image/ab67616d0000b27378637220ef03a9664eb08c32" 
"La Gusana Ciega","Jaibol","Yes Sir, I Can Boogie","2023/08/11","https://i.scdn.co/image/ab67616d0000b2738ceafc3953f1d0ce2bd820eb" 
"Juan Gabriel","Me Gusta Bailar Contigo","Buenos Días Señor Sol","2023/08/11","https://i.scdn.co/image/ab67616d0000b273790a8bfa4c8a7539fe2df0bc" 
"Zoé","8.11.14 (Deluxe)","Labios Rotos - Live 8.11.14","2023/08/11","https://i.scdn.co/image/ab67616d0000b2738d037895f2a04cf286b4f183" 
"León Larregui","Solstis - De León Larregui","Brillas","2023/08/11","https://i.scdn.co/image/ab67616d0000b273833110ebd5e6cdf55d5ec0e8" 
"Coralie Clement","Salle des pas perdus","L'ombre et la lumière","2023/08/11","https://i.scdn.co/image/ab67616d0000b27336289d656815dee4b657acb6" 
"Leo Sayer","Very Best Of Leo Sayer","You Make Me Feel Like Dancing - Remastered","2023/08/11","https://i.scdn.co/image/ab67616d0000b2739b56816506b5c6e7ade802ed" 
"The Beach Boys","Greatest Hits","Wouldn't It Be Nice","2023/08/11","https://i.scdn.co/image/ab67616d0000b27387ff937488599a929a5bfff5" 
"Bee Gees","The Ultimate Bee Gees","You Should Be Dancing - 2009 Remastered Version","2023/08/11","https://i.scdn.co/image/ab67616d0000b2736975f679ad7d0a8bea1cce7b" 
"Bee Gees","The Ultimate Bee Gees","Guilty - Live at MGM Grand Las Vegas; 2009 Remastered Version","2023/08/11","https://i.scdn.co/image/ab67616d0000b2736975f679ad7d0a8bea1cce7b" 
"Coldplay","Clocks","Clocks","2023/08/11","https://i.scdn.co/image/ab67616d0000b2730101b89babd455a9ec501562" 
"Coldplay","The Scientist","The Scientist","2023/08/11","https://i.scdn.co/image/ab67616d0000b27340b57befa24e9fe0e888f4a1" 
"Coldplay","A Head Full of Dreams","Adventure of a Lifetime","2023/08/11","https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6" 
"Coldplay","Music Of The Spheres","My Universe","2023/08/11","https://i.scdn.co/image/ab67616d0000b273ec10f247b100da1ce0d80b6d" 
"Coldplay","Viva La Vida or Death and All His Friends","Viva La Vida","2023/08/11","https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e" 
"Leo Sayer","Endless Flight","You Make Me Feel Like Dancing","2023/08/11","https://i.scdn.co/image/ab67616d0000b273fc260b9f45d36ce9ebde7bc5" 
"Cyndi Lauper","The Best Of The 80's","Girls Just Want to Have Fun","2023/08/11","https://i.scdn.co/image/ab67616d0000b2737caab36da334ff2864d34af5" 
"Blondie","Best Of Blondie","Heart Of Glass - Special Mix","2023/08/11","https://i.scdn.co/image/ab67616d0000b2738cf86a9be38868f1d73cdb58" 
"Rick Astley","Whenever You Need Somebody","Never Gonna Give You Up","2023/08/11","https://i.scdn.co/image/ab67616d0000b273255e131abc1410833be95673" 
"Queen","The Game (2011 Remaster)","Another One Bites The Dust - Remastered 2011","2023/08/11","https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba" 
"Wham!","Twenty Five","Wake Me Up Before You Go-Go - Remastered","2023/08/11","https://i.scdn.co/image/ab67616d0000b2730387e54a214e3ed5ff795956" 
"The Pointer Sisters","Best Of","I'm So Excited","2023/08/11","https://i.scdn.co/image/ab67616d0000b27354fc938a153a1adb6461e20f" 
"Rod Stewart","Storyteller - The Complete Anthology: 1964 - 1990","Young Turks","2023/08/11","https://i.scdn.co/image/ab67616d0000b2739db171cd4df245aed773b659" 
"Rod Stewart","Blondes Have More Fun","Da Ya Think I'm Sexy?","2023/08/11","https://i.scdn.co/image/ab67616d0000b273843e6e9fe4544fd294d47b4d" 
"Gloria Gaynor","Universal Masters Collection","I Will Survive","2023/08/11","https://i.scdn.co/image/ab67616d0000b273f297ee4d94bc402357cf7a49" 
"John Vass","JUMP! (The 80ies Hit Mix)","Life Is Life","2023/08/11","https://i.scdn.co/image/ab67616d0000b273ebabf6af53a214dedd3c3de3" 
"Rick Astley","Whenever You Need Somebody","Together Forever","2023/08/11","https://i.scdn.co/image/ab67616d0000b273255e131abc1410833be95673" 
"Patrick Hernandez","Born to Be Alive (The Original)","Born to Be Alive - The Original","2023/08/11","https://i.scdn.co/image/ab67616d0000b273b2622bac004d3ef8fac1095b" 
"Men At Work","Super Hits","Down Under","2023/08/11","https://i.scdn.co/image/ab67616d0000b273bb6c7e266d0e9ed210affd48" 
"Scorpions","Crazy World","Wind Of Change","2023/08/11","https://i.scdn.co/image/ab67616d0000b273787674b6a114f98cad6f834b" 
"Madonna","True Blue","La Isla Bonita","2023/08/11","https://i.scdn.co/image/ab67616d0000b2735b630a55799de3a3719dec73" 
"Ottawan","The Best Of","Hands Up","2023/08/11","https://i.scdn.co/image/ab67616d0000b27312a44579b609735a5c22adb0" 
"KISS","Dynasty","I Was Made For Lovin' You","2023/08/11","https://i.scdn.co/image/ab67616d0000b2734384b6976cadaec272114022" 
"ABBA","Arrival","Dancing Queen","2023/08/11","https://i.scdn.co/image/ab67616d0000b2733c60391b048d33edff6f3d62" 
"Stevie Wonder","The Definitive Collection","Part-Time Lover - Single Version","2023/08/11","https://i.scdn.co/image/ab67616d0000b27362ca35eb62bb4a3743b2b405" 
"4 Non Blondes","Bigger, Better, Faster, More !","What's Up?","2023/08/11","https://i.scdn.co/image/ab67616d0000b273381371cb8ce680d0dc324600" 
"Billy Joel","An Innocent Man","Uptown Girl","2023/08/11","https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7" 
"KC & The Sunshine Band","KC & the Sunshine Band","That's the Way (I Like It) - 2004 Remaster","2023/08/11","https://i.scdn.co/image/ab67616d0000b273777ea94183cc6c14db581da3" 
"CHIC","The Chic Organization 1977-1979 (2018 Remaster)","Le Freak - 2018 Remaster","2023/08/11","https://i.scdn.co/image/ab67616d0000b273b7ff955881d0c4fe6b4af092" 
"Louis Armstrong","What A Wonderful World","What A Wonderful World","2023/08/11","https://i.scdn.co/image/ab67616d0000b273845a5660b804e5f3e821fbed" 
"Barry White","Can't Get Enough","Can't Get Enough Of Your Love, Babe","2023/08/11","https://i.scdn.co/image/ab67616d0000b273aa3252b7843a8a3426cc34bf" 
"Boney M.","Take The Heat Off Me","Daddy Cool","2023/08/11","https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691" 
"Mungo Jerry","In the Summertime","In the Summertime","2023/08/11","https://i.scdn.co/image/ab67616d0000b2739bf5b1980b271ad321e73b0f" 
"Chris Norman","The Original Smokie Gold","Stumblin' In","2023/08/11","https://i.scdn.co/image/ab67616d0000b273f13168d17bdec8443d6a4465" 
"The Archies","The Very Best Of "The Archies"","Sugar, Sugar","2023/08/11","https://i.scdn.co/image/ab67616d0000b27355ef4cc7e56a02c68c3abc0f" 
"Baccara","The Collection & Tracklisting","Yes Sir, I Can Boogie","2023/08/11","https://i.scdn.co/image/ab67616d0000b273f9742033ffb15f5413898ef9" 
"La Bionda","70's Fever","One for You, One for Me","2023/08/11","https://i.scdn.co/image/ab67616d0000b273eed586bf8ae06ae017de577b" 
"Blondie","Atomic/Atomix","The Tide Is High","2023/08/11","https://i.scdn.co/image/ab67616d0000b273ebc918cfb51e9ced7349f436" 
"Blondie","Atomic: The Very Best Of Blondie","One Way Or Another","2023/08/11","https://i.scdn.co/image/ab67616d0000b27329e613cb005419f148b02cf9" 
"Nancy Sinatra","Boots","These Boots Are Made For Walkin'","2023/08/11","https://i.scdn.co/image/ab67616d0000b273b16991c5257c7d27033dd50a" 
"Paul McCartney","Off The Ground","Hope Of Deliverance","2023/08/11","https://i.scdn.co/image/ab67616d0000b2736af6c7921a4a59c1b8129d7c" 
"Village People","Go West In the Navy","In the Navy - Original Version 1979","2023/08/11","https://i.scdn.co/image/ab67616d0000b273e387a0b68cda521a1cc7a743" 
"Jesse Green","Dancing Nice 'N Slow: The Greatest Hits Of Jesse Green & 5000 Volts","Nice ‘n’ Slow","2023/08/11","https://i.scdn.co/image/ab67616d0000b273f82751bfcb5424e13f485046" 
"Harry Belafonte","Deluxe: Greatest Hits","Day O (Banana Boat Song)","2023/08/11","https://i.scdn.co/image/ab67616d0000b2739f7411c277f86fb6f189623b" 
"Tanja Thomas","My Passion","One Way Ticket (To The Blues)","2023/08/11","https://i.scdn.co/image/ab67616d0000b273ab2c6fdd3a295163ab98878d" 
"Joss Favela","Eso y Más","Eso y Más","2023/08/11","https://i.scdn.co/image/ab67616d0000b273476d78ed028738da9c160673" 
"Jennifer Hudson","Dreamgirls (Music from the Motion Picture)","Love You I Do","2023/08/11","https://i.scdn.co/image/ab67616d0000b2734ff6b691780844247bc981ea" 
"Jennifer Hudson","Sing (Original Motion Picture Soundtrack Deluxe)","Hallelujah - Duet Version / From "Sing" Original Motion Picture Soundtrack","2023/08/11","https://i.scdn.co/image/ab67616d0000b27370120e0cfe4add0fb2eba28b" 
"Jennifer Hudson","Memory (From The Motion Picture Soundtrack "Cats")","Memory - From The Motion Picture Soundtrack "Cats"","2023/08/11","https://i.scdn.co/image/ab67616d0000b2739b69883d36f039ca4ee8941d" 
"Jennifer Hudson","I Remember Me","Feeling Good","2023/08/11","https://i.scdn.co/image/ab67616d0000b273652dde8e1215661397e4a007" 
"Jennifer Hudson","Dreamgirls (Music from the Motion Picture)","One Night Only - Highlights Version","2023/08/11","https://i.scdn.co/image/ab67616d0000b2734ff6b691780844247bc981ea" 
"Jennifer Hudson","Dreamgirls (Music from the Motion Picture)","Dreamgirls","2023/08/11","https://i.scdn.co/image/ab67616d0000b2734ff6b691780844247bc981ea" 
"Rod Stewart","Soulbook","Let It Be Me (with Jennifer Hudson)","2023/08/11","https://i.scdn.co/image/ab67616d0000b2735875ea9922c6f3fa4e4a31cc" 
"Leonard Cohen","Various Positions","Dance Me to the End of Love","2023/08/11","https://i.scdn.co/image/ab67616d0000b2738c56267153920f9c0df36c5b" 
"Leonard Cohen","Various Positions","Hallelujah","2023/08/11","https://i.scdn.co/image/ab67616d0000b2738c56267153920f9c0df36c5b" 
"Creedence Clearwater Revival","Green River (Expanded Edition)","Bad Moon Rising","2023/08/11","https://i.scdn.co/image/ab67616d0000b2733efcd243aaa5638f55318f91" 
"Creedence Clearwater Revival","Willy And The Poor Boys (Expanded Edition)","Down On The Corner","2023/08/11","https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5" 
"Blondie","Classic Covers","The Tide Is High - Edit","2023/08/11","https://i.scdn.co/image/ab67616d0000b273e4bdbf6937803ee8731cf75b" 
"Smash Mouth","Classic Covers","I'm A Believer - From "Shrek" Motion Picture Soundtrack","2023/08/11","https://i.scdn.co/image/ab67616d0000b273e4bdbf6937803ee8731cf75b" 
"KISS","Best of Rock Classics","I Was Made For Lovin' You","2023/08/11","https://i.scdn.co/image/ab67616d0000b273b731fae7e7e5146ec574dcc2" 
"Amy Winehouse","Back To Black (Deluxe Edition)","Back To Black","2023/08/11","https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1" 
"Amy Winehouse","Back To Black (Deluxe Edition)","You Know I'm No Good","2023/08/11","https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1" 
"Amy Winehouse","Back To Black (Deluxe Edition)","Rehab","2023/08/11","https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1" 
"Aretha Franklin","Aretha Now","I Say a Little Prayer","2023/08/11","https://i.scdn.co/image/ab67616d0000b27346c31f64babcbfca6e061b6b" 
"Adele","21","Rolling in the Deep","2023/08/11","https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300" 
"Roberta Flack","Killing Me Softly","Killing Me Softly With His Song","2023/08/11","https://i.scdn.co/image/ab67616d0000b2737ff730d1580c27bc461d0ccf" 
"LP","Lost on You","Lost on You","2023/08/11","https://i.scdn.co/image/ab67616d0000b273edd52840c88ba5e7163071cf" 
"Ricardo Montaner","Haciendo Camino","Tan Enamorados (Nina Bonita)","2023/08/11","https://i.scdn.co/image/ab67616d0000b273df181b5b671501d34c08b118" 
"Keane","Hopes And Fears","Everybody's Changing","2023/08/11","https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490" 
"Tears For Fears","Songs From The Big Chair (Super Deluxe Edition)","Everybody Wants To Rule The World","2023/08/11","https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235" 
"R.E.M.","Automatic For The People","Everybody Hurts","2023/08/11","https://i.scdn.co/image/ab67616d0000b273ace3e7aae0b7c78bbe1c4f35" 
"Bob Conrad","We Wish You a Merry Christmas","White Christmas","2023/08/11","https://i.scdn.co/image/ab67616d0000b27321070afd9adb45d1f0590338" 
"Vic Dana","The Complete Hits Of Vic Dana","I Will","2023/08/11","https://i.scdn.co/image/ab67616d0000b2739566a375ea84d1e06c2b5a5c" 
"Maria Becerra","LA NENA DE ARGENTINA","LA NENA DE ARGENTINA","2023/08/11","https://i.scdn.co/image/ab67616d0000b27377ec4341ebb8a0dbfe2df739" 
"León Larregui","Solstis - De León Larregui","Souvenir","2023/08/11","https://i.scdn.co/image/ab67616d0000b2735be353af3e7d01599fbbda14" 
"León Larregui","Solstis - De León Larregui","Como Tú (Magic Music Box)","2023/08/11","https://i.scdn.co/image/ab67616d0000b2735be353af3e7d01599fbbda14" 
"León Larregui","Solstis - De León Larregui","Pérdida Total","2023/08/11","https://i.scdn.co/image/ab67616d0000b2735be353af3e7d01599fbbda14" 
"León Larregui","Metrópolis (Live)","Locos - Live","2023/08/11","https://i.scdn.co/image/ab67616d0000b2737f95db2bb4943b58b6d43bba" 
"Zoé","Rocanlover","Love","2023/08/11","https://i.scdn.co/image/ab67616d0000b273ae18ed3e8c0b2f82d0eaf08c" 
"Jenny And The Mexicats","Jenny And The Mexicats","Verde Más Allá","2023/08/11","https://i.scdn.co/image/ab67616d0000b273113f00d50fe4b8cccd68d7e8" 
"La Mosca Tse-Tse","Visperas De Carnaval","Para No Verte Más","2023/08/11","https://i.scdn.co/image/ab67616d0000b27360fc79eea7acba5248619f82" 
"Jósean Log","Háblate de Mí","Beso","2023/08/11","https://i.scdn.co/image/ab67616d0000b273a8659bf75fee7dc8c01afc67" 
"León Larregui","Solstis - De León Larregui","Brillas","2023/08/11","https://i.scdn.co/image/ab67616d0000b2735be353af3e7d01599fbbda14" 
